Artisan,Product_name,Principles,Materials,Processes,Industrial_scale_items,Regular_price,Last_price,Unit_price,Url
Olive mode,No-Show | Reusable Nipple Covers: Nood 5,"woman owned, black owned",", , ,",", , ,",,Regular price,$24.00 USD,Regular price,https://www.olivemodeboutique.com/products/no-show-reusable-nipple-covers-nood-5
Olive mode,No-Show | Reusable Nipple Covers: Nood 7,"woman owned, black owned",", , ,",", , ,",,Regular price,$24.00 USD,Regular price,https://www.olivemodeboutique.com/products/no-show-reusable-nipple-covers-nood-7
Olive mode,No-Show | Reusable Nipple Covers: Nood 9,"woman owned, black owned",", , ,",", , ,",,Regular price,$24.00 USD,Regular price,https://www.olivemodeboutique.com/products/no-show-reusable-nipple-covers-nood-9
Olive mode,OLIVE MODE gift card,"woman owned, black owned",", , ,",", , ,",,Regular price,$50.00 USD,Regular price,https://www.olivemodeboutique.com/products/olive-mode-gift-card
Olive mode,OLIVE MODE Signature Logo Unisex Tee,"woman owned, black owned",", , ,",", , ,",,Regular price,$32.00 USD,Regular price,https://www.olivemodeboutique.com/products/olive-mode-signature-logo-unisex-tee
Olive mode,Poolside Ribbed Dress Cream,"woman owned, black owned",", , ,",", , ,",,Regular price,$48.00 USD,Regular price,https://www.olivemodeboutique.com/products/amy-lynn-vega-dress-2
Olive mode,Poolside Ribbed Dress Orange,"woman owned, black owned",", , ,",", , ,",,Regular price,$48.00 USD,Regular price,https://www.olivemodeboutique.com/products/amy-lynn-vega-dress-3
Olive mode,Prague High-Waist Shorts,"woman owned, black owned",", , ,",", , ,",,Regular price,$52.00 USD,Regular price,https://www.olivemodeboutique.com/products/leather-shorts
Olive mode,Purse Key Hanger,"woman owned, black owned",", , ,",", , ,",,Regular price,$14.99 USD,Regular price,https://www.olivemodeboutique.com/products/print-purse-key-hanger
Olive mode,Raindrop Earrings Gold,"woman owned, black owned",", , ,",", , ,",,Regular price,$65.00 USD,Regular price,https://www.olivemodeboutique.com/products/raindrop-statement-earrings-gold
Olive mode,Raindrop Earrings Silver,"woman owned, black owned",", , ,",", , ,",,Regular price,$65.00 USD,Regular price,https://www.olivemodeboutique.com/products/raindrop-statement-earrings-silver
Olive mode,Refillable Ultimate Travel 11pc Set - Black & Ivory,"woman owned, black owned",", , ,",", , ,",,Regular price,$12.00 USD,Regular price,https://www.olivemodeboutique.com/products/kitsch-refillable-ultimate-travel-11pc-set-black-ivory
Olive mode,Refillable Ultimate Travel 11pc Set - Blush,"woman owned, black owned",", , ,",", , ,",,Regular price,$12.00 USD,Regular price,https://www.olivemodeboutique.com/products/kitsch-refillable-ultimate-travel-11pc-set-blush
Olive mode,Ribbed Bracelet,"woman owned, black owned",", , ,",", , ,",,Regular price,$50.00 USD,Regular price,https://www.olivemodeboutique.com/products/veronica-bracelet-15-mm-gold
Olive mode,Ribbed Hoops,"woman owned, black owned",", , ,",", , ,",,Regular price,$58.00 USD,Regular price,https://www.olivemodeboutique.com/products/robyn-hoops
Olive mode,Riviera Orange Jumpsuit,"woman owned, black owned",", , ,",", , ,",,Regular price,$48.00 USD,Regular price,https://www.olivemodeboutique.com/products/riviera-orange-jumpsuit
Olive mode,ROSE PETALS | LUXE Toppings MINI,"woman owned, black owned",", , ,",", , ,",,Regular price,$9.00 USD,Regular price,https://www.olivemodeboutique.com/products/rose-petals-luxe-toppings-mini
Olive mode,Saint Crossbody: Black,"woman owned, black owned",", , ,",", , ,",,Regular price,$65.00 USD,Regular price,https://www.olivemodeboutique.com/products/nanci-crossbody-black
Olive mode,Saint Crossbody: Oatmilk,"woman owned, black owned",", , ,",", , ,",,Regular price,$65.00 USD,Regular price,https://www.olivemodeboutique.com/products/nanci-crossbody-oatmilk
Olive mode,Sangria Camel Midi Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$68.00 USD,Regular price,https://www.olivemodeboutique.com/products/sahara-midi-dress
Olive mode,Shape Tape | Breast Tape (XL): Nood 5 / 4in.,"woman owned, black owned",", , ,",", , ,",,Regular price,$34.00 USD,Regular price,https://www.olivemodeboutique.com/products/shape-tape-breast-tape-xl-nood-5-4in
Olive mode,Shapewear Short Black,"woman owned, black owned",", , ,",", , ,",,Regular price,$25.00 USD,Regular price,https://www.olivemodeboutique.com/products/2006-held-together-shapewear-short-black
Olive mode,Sightsee Blue Jogger Jumpsuit,"woman owned, black owned",", , ,",", , ,",,Regular price,$38.00 USD,Regular price,https://www.olivemodeboutique.com/products/blue-jumpsuit
Olive mode,Somalia Shirt Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$88.00 USD,Regular price,https://www.olivemodeboutique.com/products/uptown-topskin-adria-white-shirt-dress-1
Olive mode,Spotted Back Out Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$38.00 USD,Regular price,https://www.olivemodeboutique.com/products/leopard-long-sleeve-dress
Olive mode,St.Lucia Cowl Neck Backless Crop Top,"woman owned, black owned",", , ,",", , ,",,Regular price,$34.00 USD,Regular price,https://www.olivemodeboutique.com/products/cowl-neck-backless-crop-top
Olive mode,Stainless Steel Gua Sha,"woman owned, black owned",", , ,",", , ,",,Regular price,$13.00 USD,Regular price,https://www.olivemodeboutique.com/products/stainless-steel-gua-sha
Olive mode,Star Cubic Necklace,"woman owned, black owned",", , ,",", , ,",,Regular price,$38.00 USD,Regular price,https://www.olivemodeboutique.com/products/brenda-grands-jewelry-star-cubic-necklace
Olive mode,Starry Chiffon Maxi Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$72.00 USD,Regular price,https://www.olivemodeboutique.com/products/pink-shimmer-dress
Olive mode,Stone Cold Blue Crossbody,"woman owned, black owned",", , ,",", , ,",,Regular price,$65.00 USD,Regular price,https://www.olivemodeboutique.com/products/urban-expressions-lucas-crossbody
Olive mode,Stone Ring: 7,"woman owned, black owned",", , ,",", , ,",,Regular price,$35.00 USD,Regular price,https://www.olivemodeboutique.com/products/dylan-ring-7
Olive mode,Sun Hoops Mini,"woman owned, black owned",", , ,",", , ,",,Regular price,$38.00 USD,Regular price,https://www.olivemodeboutique.com/products/brenda-grands-jewelry-sun-hoops-mini
Olive mode,Tahiti Straw Crossbody,"woman owned, black owned",", , ,",", , ,",,Regular price,$90.00 USD,Regular price,https://www.olivemodeboutique.com/products/urban-expressions-caspian-crossbody
Olive mode,Tamera Pink Sequin Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$158.00 USD,Regular price,https://www.olivemodeboutique.com/products/hot-pink-floral-mini-dress
Olive mode,The Angela Cargo Pants,"woman owned, black owned",", , ,",", , ,",,Regular price,$68.00 USD,Regular price,https://www.olivemodeboutique.com/products/black-leather-cargo-pants
Olive mode,The Lavender Weighted Satin Eye Mask,"woman owned, black owned",", , ,",", , ,",,Regular price,$24.00 USD,Regular price,https://www.olivemodeboutique.com/products/the-lavender-weighted-satin-eye-mask
Olive mode,The Overnight Messenger,"woman owned, black owned",", , ,",", , ,",,Regular price,$70.00 USD,Regular price,https://www.olivemodeboutique.com/products/urban-expressions-lissa-crossbody
Olive mode,Tiffany Canvas Backpack,"woman owned, black owned",", , ,",", , ,",,Regular price,$90.00 USD,Regular price,https://www.olivemodeboutique.com/products/urban-expressions-jamie-backpack
Olive mode,Touchland - Glow Mist Rosewater,"woman owned, black owned",", , ,",", , ,",,Regular price,$16.00 USD,Regular price,https://www.olivemodeboutique.com/products/touchland-glow-mist-rosewater
Olive mode,Touchland - Power Mist Beach Coco,"woman owned, black owned",", , ,",", , ,",,Regular price,$10.00 USD,Regular price,https://www.olivemodeboutique.com/products/touchland-power-mist-beach-coco
